,firmid,costs,output,plabor,pkap,pfuel,labshr,kapshr,Ltotcost,Loutput,Loutput_2,Lplabor,Lpfuel,Lpkap,Lpprod,Loutpfuel,One,avgcost,totcost_e,avgcost_e
0,1.0,0.21299999952316284,8.0,6869.47021484375,64.94499969482422,18.0,0.32910001277923584,0.4196999967098236,-1.5464631155113842,2.0794415416798357,4.324077125263812,8.834842266499555,2.8903717578961645,4.1735407531602595,24276712.237911426,24982.580172574955,1,0.026624999940395355,0.19782283351319846,0.024727854189149807
1,20.0,0.4887000024318695,14.0,5438.89013671875,86.11000061035156,34.150001525878906,0.2994000017642975,0.4571000039577484,-0.7160064697298267,2.6390573296152584,6.964623588996019,8.60133030004976,3.5307626306984643,4.455625555796119,24276712.237911426,24982.580172574955,1,0.03490714303084782,0.37311098036902096,0.026650784312072927
2,17.0,0.6158999800682068,50.0,9204.240234375,90.47000122070312,32.06999969482422,0.2962999939918518,0.09809999912977219,-0.4846706986512007,3.912023005428146,15.303923994999064,9.127419551898397,3.4679210041891366,4.505018317530555,24276712.237911426,24982.580172574955,1,0.012317999601364135,0.8466541178766643,0.016933082357533286
3,14.0,0.7605999708175659,65.0,8971.8896484375,41.24300003051758,28.538999557495117,0.2802000045776367,0.1281999945640564,-0.27364772185562786,4.174387269895637,17.42550907906675,9.10185159601447,3.35127155738716,3.719481402150779,24276712.237911426,24982.580172574955,1,0.011701538012577938,0.8546207334409914,0.01314801128370756
4,28.0,0.6363000273704529,67.0,6696.5,58.257999420166016,25.399999618530273,0.24469999969005585,0.36739999055862427,-0.45208508572837836,4.204692619390966,17.67944002356086,8.809340280827177,3.2347491590059976,4.064881412118595,24276712.237911426,24982.580172574955,1,0.009497015333887356,0.7549660377257693,0.011268149816802527
5,22.0,1.1474000215530396,90.0,7189.669921875,79.10099792480469,21.503000259399414,0.2854999899864197,0.20730000734329224,0.13749853196987571,4.499809670330265,20.24828706919777,8.880400541716227,3.068192472346657,4.370725490683973,24276712.237911426,24982.580172574955,1,0.012748889128367106,0.8516850556011184,0.009463167284456871
6,16.0,1.3422000408172607,183.0,5063.490234375,74.43000030517578,35.5099983215332,0.09600000083446503,0.2628999948501587,0.2943100891527157,5.209486152841421,27.13874597664651,8.529811294139098,3.5698142996875553,4.309859090471991,24276712.237911426,24982.580172574955,1,0.0073344264525533375,1.6807758991321586,0.009184567754820539
7,15.0,2.258699893951416,295.0,8218.400390625,71.94000244140625,39.20000076293945,0.17720000445842743,0.1623000055551529,0.8147893795908886,5.68697535633982,32.34168870361643,9.014130869432593,3.668676766259158,4.275832472204178,24276712.237911426,24982.580172574955,1,0.0076566098100048,2.917430411103769,0.009889594613911082
8,27.0,2.0532000064849854,374.0,7884.93994140625,82.45800018310547,26.30139923095703,0.2054000049829483,0.12080000340938568,0.7193995548624882,5.924255797414532,35.096806753199694,8.972709882552182,3.2696221404664914,4.41228907502136,24276712.237911426,24982.580172574955,1,0.005489839589532046,2.660194814342137,0.007112820359203575
9,30.0,3.150399923324585,378.0,7895.43017578125,60.277000427246094,42.468299865722656,0.09799999743700027,0.1995999962091446,1.1475294045644127,5.934894195619588,35.22296911319908,8.974039412321428,3.7487579121069636,4.098950611857386,24276712.237911426,24982.580172574955,1,0.008334391331546521,3.585448019887471,0.009485312221924527
10,35.0,4.505000114440918,467.0,8410.33984375,76.30000305175781,26.850000381469727,0.24740000069141388,0.19169999659061432,1.5051879164633903,6.1463292576688975,37.7773633436767,9.037217161633311,3.2902658351623124,4.334672978287236,24276712.237911426,24982.580172574955,1,0.009646681187239653,3.227149219462032,0.006910383767584651
